S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,Mar Cap Growth Rate,Sales Qtr Growth Rate,Profit Margin,Return on Investment (ROI),Market Share
20,Hind.Zinc,133266.56,5922.0,-0.7261547409829539,-10.990601557439017,-2150.3640661938534,-95.55627458231082,0.3388307332451549
21,Wipro,131840.57,13669.0,-1.0700283702077984,130.81729145558933,-864.5224230009511,-89.63217467885643,0.7820799210955796
22,HCL Technologies,126335.27,12809.0,-4.1757252718188305,-6.291608749725652,-886.3008041221017,-89.86110529545708,0.7328745123500826
23,Vedanta,122184.17,24361.0,-3.2857807641524017,90.18658755562494,-401.5564631993761,-80.06206532319203,1.3938290261035493
24,Tata Motors,117071.87,74156.07,-4.18409356956797,204.4048684372563,-57.872268581654865,-36.657653115133456,4.2428834131508
25,UltraTech Cem.,113692.87,8019.24,-2.8862612342315908,-89.18599650709645,-1317.7511834039135,-92.9465761573263,0.4588255604979527
26,Asian Paints,108044.04,4260.52,-4.968499783671576,-46.87127458462397,-2435.9355196079346,-96.05668207149603,0.24376817217251728
27,Power Grid Corpn,102016.01,7506.95,-5.579234171547087,76.19797583393574,-1258.9541691366,-92.64140010964947,0.4295145850953589
28,B P C L,98278.0,60616.36,-3.664140559898388,707.4698779131338,-62.131147432805264,-38.32153686481206,3.468200895888598
29,IndusInd Bank,97379.96,4286.78,-0.913775209100709,-92.92801481316265,-2171.634186965508,-95.59788276766595,0.24527065360700184
30,Bajaj Fin.,94476.77,3540.63,-2.981301286219462,-17.405838414847498,-2568.36043303028,-96.25238034704192,0.20257923996112678
31,Bajaj Auto,88252.6,6369.34,-6.588042753790157,79.8928439289053,-1285.5846916635005,-92.7828301942379,0.36442555597563236
32,M & M,88142.35,11577.78,-0.12492549794567154,81.77362175672833,-661.3061398644645,-86.86467969143096,0.6624295317040002
33,HDFC Stand. Life,87358.23,9734.9,-0.8896064150774374,-15.917386580156133,-797.3716216910292,-88.85634473134358,0.5569880623215566
34,Adani Ports,81781.89,2688.85,-6.383302408943036,-72.37927456881941,-2941.519236848467,-96.7121694057205,0.15384414337829022
35,Bajaj Finserv,79795.11,7665.4,-2.4293642516698966,185.0809825761943,-940.9777702403007,-90.39364692899102,0.43858039557875883
36,GAIL (India),78670.97,14414.34,-1.408783069538977,88.04419860672634,-445.7826719780441,-81.6776887332138,0.8247249901122874
37,Avenue Super.,74066.35,4094.82,-5.853010328968866,-71.59203959390442,-1708.7815825848268,-94.47141650695625,0.23428754865027443
38,Titan Company,73886.0,4274.84,-0.24349789074256112,4.396286039435182,-1628.3921737421754,-94.21427604688304,0.24458749944372138
39,JSW Steel,73870.26,17861.0,-0.021303088541813064,317.8168071787482,-313.58412182968476,-75.82112205913448,1.0219276809340951
40,Grasim Inds,73532.62,15291.42,-0.457071628013761,-14.386540507250434,-380.8750266489312,-79.2045761459336,0.8749076411617066
41,Tata Steel,73376.14,32464.14,-0.21280351495702732,112.3029777483059,-126.02212780008956,-55.75654429355373,1.8574549747337659
42,Eicher Motors,73311.41,2269.01,-0.08821668733186572,-93.01071890399683,-3130.9866417512485,-96.90497018131285,0.12982274941583738
43,Nestle India,73015.49,2601.46,-0.4036479451152264,14.651764425894974,-2706.7120001845115,-96.43711217989497,0.14884407283146583
44,Godrej Consumer,71859.82,2630.3,-1.5827737374631057,1.1086082430635136,-2632.0009124434473,-96.33967911414196,0.1504941704921869
45,Yes Bank,71028.13,5070.3,-1.1573783513512903,92.76508383074173,-1300.866418160661,-92.86156062393871,0.2901002139096435
46,Hero Motocorp,69448.66,7305.49,-2.2237246003801614,44.083979251720805,-850.6365760544469,-89.48073296158631,0.4179879320187684
47,Motherson Sumi,68590.33,14397.85,-1.2359201747017212,97.08260499980153,-376.39286421236505,-79.00892151998687,0.8237815050073883
48,SBI Life Insuran,67465.0,9569.97,-1.6406540105580514,-33.531950951010046,-604.9656373008485,-85.81491143555918,0.5475514948048185
49,General Insuranc,66316.32,8557.68,-1.7026309938486528,-10.577776105881199,-674.9333931626329,-87.0956651394408,0.489632723619959
50,Bharti Infra.,61776.92,,-6.845072223549209,0.0,,,
51,Dabur India,60015.0,1966.44,-2.85206837764006,-77.02134223294163,-2951.9619210349665,-96.7234191452137,0.1125110278761571
52,Bosch,59204.28,3071.92,-1.3508622844288998,56.217326742743225,-1827.2728456470218,-94.81132107340888,0.17576172003891527
53,Shree Cement,58987.08,2296.23,-0.36686536851726625,-25.250983098518187,-2468.8663592061766,-96.10723229561457,0.1313801578182239
54,New India Assura,58108.48,5074.02,-1.4894787129656195,120.9717667655244,-1045.2158249277693,-91.26802146605797,0.2903130559102636
55,H P C L,58034.78,57474.25,-0.12683174641636707,1032.7162683631518,-0.9752715346437733,-0.9658518564212681,3.2884232134777682
56,ICICI Pru Life,57748.98,13555.32,-0.4924633125170774,-76.41496844238942,-326.0244686219138,-76.52716983053207,0.7755756526465236
57,Britannia Inds.,56837.2,2567.48,-1.5788677133345197,-81.05924463605433,-2113.734868431302,-95.48274721485224,0.14689988703010304
58,Tech Mahindra,56244.26,7775.96,-1.0432252116571505,202.8635081870161,-623.3095334852546,-86.1746603120034,0.4449061513821335
59,Hindalco Inds.,55854.68,11022.81,-0.6926573485009913,41.75497301940854,-406.71906709813567,-80.26519890544535,0.6306765948534322
60,Zee Entertainmen,54817.89,1838.07,-1.8562276249725174,-83.32485092276833,-2882.361389936183,-96.64695229969632,0.10516626238701822
61,Cairn India,53528.57,2149.36,-2.3520058871291827,16.935698858041338,-2390.4422711877023,-95.98464894541362,0.12297690388514121
62,Indiabulls Hous.,52781.67,3115.89,-1.3953296342495314,44.968269624446336,-1593.9516478437943,-94.09664377803885,0.17827748960000772
63,Ambuja Cem.,52361.46,6170.71,-0.7961286560277392,98.04004634309942,-748.5483842215888,-88.21516817903856,0.3530608230231695
64,Interglobe Aviat,48621.37,6177.88,-7.142829859977162,0.11619408463532377,-687.0235420564984,-87.29389978110449,0.3534710588146872
65,Cipla,48577.43,3913.82,-0.09037178508133348,-36.64784683418907,-1141.1769064494533,-91.9431307913984,0.22393152657709425
66,Piramal Enterp.,47483.97,2858.36,-2.2509630501242994,-26.967515113111993,-1561.231265480905,-93.98036853279118,0.16354275830439396
67,United Spirits,46725.05,2263.3,-1.5982656883996804,-20.818231433409363,-1964.4656033225817,-95.15613145411294,0.1294960483880039
68,Pidilite Inds.,45855.5,1542.9,-1.860993193158711,-31.82962930234613,-2872.0331842634,-96.63530001853648,0.08827793622491549
69,Siemens,44239.04,2429.5,-3.525116943441897,57.46321861429775,-1720.9112986211157,-94.5082443018655,0.139005279706029
70,Cadila Health.,41876.19,3259.6,-5.341096913495402,34.16752418193043,-1184.703337832863,-92.21610179913694,0.18649994226374653
71,NMDC,41415.33,2469.03,-1.1005299192691664,-24.253589397472076,-1577.3927412789637,-94.038366952527,0.14126701204057496
72,DLF,40159.35,1693.72,-3.0326451582059155,-31.40140055001357,-2271.0737311952385,-95.78250145980948,0.0969071917446781
73,Marico,39813.84,1337.59,-0.8603475902872026,-21.026497886309436,-2876.5354107013363,-96.64038937213793,0.07653100312080154
74,Ashok Leyland,39047.57,7113.16,-1.9246322384376846,431.78926277857937,-448.94828739969296,-81.78334784981499,0.4069836572931621
75,Bharat Electron,37776.23,2512.82,-3.255874821403726,-64.67364715541335,-1403.340072110219,-93.3481451166514,0.14377248279518579
76,ICICI Lombard,37219.22,2110.99,-1.4744986463710141,-15.991197141060653,-1663.1168314392778,-94.32822611543176,0.12078154163681011
77,Lupin,36878.85,3975.62,-0.9145006262893274,88.32964627970763,-827.6251251377143,-89.2197831548435,0.2274674501357823
78,Petronet LNG,36615.0,7757.06,-0.7154507258225196,95.11573037664567,-372.0216164371553,-78.81452956438618,0.4438247767015639
79,Aditya Birla Cap,36215.92,3325.02,-1.0899358186535646,-57.135564247279255,-989.1940499606019,-90.81889953368575,0.19024298626389818
80,Dr Reddy's Labs,35893.55,3834.1,-0.8901333998970529,15.310584597987376,-836.1662450118674,-89.31813654542391,0.2193702996175698
81,Sun TV Network,35824.26,683.28,-0.1930430397662053,-82.17886857411126,-5142.983842641377,-98.09268914417214,0.039094269404213004
82,S A I L,35729.04,15323.65,-0.2657975349665276,2142.6604027631424,-133.1627255908351,-57.11149809790579,0.8767516996778314
83,UPL,35349.58,4194.0,-1.0620492462154019,-72.6305416790386,-742.86075345732,-88.13564404442712,0.23996219102164468
84,Oracle Fin.Serv.,34620.19,1059.12,-2.063362563289295,-74.74678111587983,-3168.769355691518,-96.9407446926201,0.06059817733782648
85,Bharat Forge,34397.69,1390.55,-0.6426885583239117,31.292960193368092,-2373.675164503254,-95.95743202523191,0.07956114085005912
86,Biocon,34347.0,1057.9,-0.147364546863471,-23.922189061881983,-3146.715190471689,-96.91996389786588,0.06052837431611777
87,B H E L,34162.38,6626.35,-0.5375141933793404,526.3682767747424,-415.55350985082276,-80.60337131078104,0.3791305351636326
88,Aurobindo Pharma,33676.52,4336.11,-1.4222077033274605,-34.56261742890129,-676.6528063171829,-87.12423373911557,0.2480930987388802
89,Bank of Baroda,33364.23,11303.24,-0.9273226568540793,160.67696622087539,-195.17403859424383,-66.12168181312742,0.6467215631958738
90,Idea Cellular,33047.33,6509.6,-0.9498196122014524,-42.40943304751558,-407.6706710089714,-80.3021908275192,0.3724506148484736
91,A B B,31983.33,2779.4,-3.2196247019048108,-57.30306009585843,-1050.7278549327193,-91.30984797392891,0.15902501519445855
92,Havells India,31798.18,1965.77,-0.5788953182798706,-29.273584226811543,-1517.594123422374,-93.81797951958256,0.11247269342980887
93,Container Corpn.,31450.56,1639.55,-1.0932072212937904,-16.59502383290009,-1818.2434204507335,-94.78689727623292,0.09380782314962743
94,TVS Motor Co.,30919.51,3684.95,-1.6885231932277311,124.75374340520263,-739.0754284318647,-88.08212031820685,0.21083659413571992
95,ACC,30803.68,3494.24,-0.3746178383810084,-5.1753755139147035,-781.5559320481708,-88.65642027186362,0.19992500866844815
96,Bajaj Holdings,30305.94,317.85,-1.615845898931556,-90.90360135537341,-9434.667295894289,-98.9511957061883,0.018185975778786303
97,P & G Hygiene,30202.12,704.16,-0.3425731061303505,121.5384615384615,-4189.099068393547,-97.66850803850855,0.040288930956080424
98,MRF,30030.01,3798.82,-0.5698606587881905,439.4825039763691,-690.5088948673534,-87.34992096239729,0.21735173354717313
99,Shriram Trans.,29327.64,3087.67,-2.338893660042063,-18.720286825909106,-849.8307785482258,-89.47180884653521,0.17666286560605665
101,L&T Fin.Holdings,28932.43,2630.17,-1.3475683689516127,-14.816997930478326,-1000.0212913994153,-90.90926686766373,0.15048673246528352
102,Punjab Natl.Bank,28270.22,12175.48,-2.28881569919982,362.91608527205466,-132.18977814427032,-56.93178192458353,0.6966272907821206
103,NHPC Ltd,28059.24,1497.93,-0.7462976941813637,-87.6971585514493,-1773.2010174040176,-94.66154464625556,0.0857049510722585
104,Power Fin.Corpn.,27905.66,6194.77,-0.5473419807521585,313.55537308151924,-350.471284648179,-77.80102674511193,0.35443743015621215
105,United Breweries,27797.69,1197.1,-0.3869107557391671,-80.67563444647664,-2222.0858741959737,-95.693527052068,0.06849278466190052
106,Oil India,27404.15,2852.55,-1.4157291487170265,138.28836354523432,-860.6895584652328,-89.59081015101728,0.16321033571740404
107,Rural Elec.Corp.,27382.24,5498.45,-0.07995139422313224,92.75560463444985,-397.9992543353127,-79.91964864817488,0.3145970694379976
108,GlaxoSmith C H L,27340.89,1034.67,-0.15101028988133702,-81.18251507242951,-2542.4744121314043,-96.21566818051645,0.0591992561240737
109,M & M Fin. Serv.,26928.37,2182.45,-1.5088023835361675,110.9319879768428,-1133.8596531421108,-91.89535051694551,0.12487016781001152
110,Divi's Lab.,26915.86,1037.88,-0.0464565809218942,-52.44427134642259,-2493.3499055767525,-96.14398351009405,0.05938291817299585
111,Kansai Nerolac,26409.76,1145.01,-1.8803040289257056,10.322002543646658,-2206.5091134575246,-95.66444375109808,0.06551242449730409
112,Alkem Lab,25957.56,1422.52,-1.7122457758040888,24.236469550484287,-1724.758878609791,-94.51982389716137,0.0813903233123772
113,LIC Housing Fin.,25880.98,3738.1,-0.2950200249946522,162.78013665888707,-592.3565447687328,-85.55657475103338,0.21387760282737478
114,Future Retail,25859.25,4693.39,-0.08396127194565395,25.55549610764829,-450.971685711181,-81.85024701025745,0.268535085293056
115,Page Industries,25383.03,621.03,-1.841584732735868,-86.7679864660725,-3987.246992898894,-97.553365378365,0.03553259882932093
116,Dalmia Bhar.,25288.97,2090.54,-0.3705625372542154,236.62463971144714,-1109.6860141398872,-91.7333920677671,0.11961148278931545
117,IIFL Holdings,24788.54,1612.14,-1.97884690440141,-22.884039530456235,-1437.6170804024464,-93.49643020524807,0.09223954378484364
118,L & T Infotech,24626.1,1883.8,-0.6553028133161609,16.850893842966475,-1207.2566089818451,-92.350392469778,0.10778273138926422
119,Aditya Bir. Nuv.,24592.21,4287.12,-0.1376182180694463,127.57829918250346,-473.63008266621887,-82.56716252829656,0.24529010690813383
120,Emami,23720.37,756.64,-3.5451876834168172,-82.35085558603444,-3034.961144005075,-96.81016780092385,0.04329160520138703
121,Cummins India,23562.0,1354.67,-0.667654003710727,79.03758722774373,-1639.3165863272973,-94.25061539767424,0.07750824542472375
122,Berger Paints,23537.8,1338.63,-0.10270774976657293,-1.1840522045959534,-1658.3499548045388,-94.31284996898606,0.07659050733602867
123,Rajesh Exports,23495.54,41304.84,-0.1795409936357628,2985.605432419712,43.11673886159587,75.79864093355589,2.3632808550783184
126,Tata Power Co.,23369.24,6949.91,-0.5375488284159458,-83.17410259911429,-236.25241190173688,-70.26043636849123,0.3976432119702523
127,3M India,23101.19,645.77,-1.1470206134217564,-90.7082249985971,-3477.309258714403,-97.20460287976506,0.03694811256462744
128,Jindal Steel,23094.39,6992.56,-0.029435713052006207,982.8251544667606,-230.2708879151555,-69.72182421791612,0.40008345695047964
129,Edelweiss.Fin.,22915.42,2069.45,-0.7749501069307385,-70.40497328589244,-1007.3193360554736,-90.96918145074365,0.11840480596321948
130,Gillette India,21976.74,407.52,-4.096281019505632,-80.30781125419797,-5292.800353356891,-98.14567583727158,0.02331649787437783
131,Adani Enterp.,21776.04,9938.37,-0.9132382691882435,2338.7441107184927,-119.11077973550994,-54.36098574396446,0.5686297187371919
132,Adani Transmissi,21677.26,1782.29,-0.45361782950436025,-82.06657630979728,-1116.258857986074,-91.77806604709266,0.10197477668954864
133,Balkrishna Inds,21372.18,1106.31,-1.4073734411083283,-37.927609984907065,-1831.843696613065,-94.82359777991762,0.06329818110375672
134,Cholaman.Inv.&Fn,20832.4,1404.33,-2.525619754278685,26.938199962035945,-1383.4405018763396,-93.25891399934716,0.08034957170181836
135,Indraprastha Gas,20779.52,1183.9,-0.2538353718246622,-15.696453112872321,-1655.175268181434,-94.30256329308857,0.06773753885324871
136,M R P L,20750.78,14100.98,-0.1383092583466916,1091.0617450798209,-47.15842444993184,-32.04602429402654,0.8067959123396258
137,Glaxosmi. Pharma,20489.35,703.91,-1.259856256005798,-95.00807745277278,-2810.79115227799,-96.56450790288613,0.04027462705818929
138,PNB Housing,20037.85,1438.49,-2.2035838130540997,104.35709110539699,-1292.9780533754142,-92.82113600011976,0.08230405630966277
139,RBL Bank,19748.79,1150.79,-1.4425699363953548,-20.000139034682206,-1616.1071959262767,-94.17285818523565,0.06584313061654708
140,Castrol India,18803.22,970.3,-4.787989542650461,-15.684008376854164,-1837.8769452746574,-94.83971362351767,0.055516288495064806
141,Canara Bank,18590.66,10774.64,-1.1304446791560285,1010.4441925177779,-72.54089231751595,-42.0427246800275,0.6164774014948624
142,GRUH Finance,18535.09,428.47,-0.298913540455259,-96.02334741578373,-4225.878124489462,-97.68833062046097,0.024515164517654765
143,KIOCL,18534.15,442.81,-0.00507146175172668,3.346792074124205,-4085.576206499402,-97.61084268768731,0.025335636100690145
144,Voltas,18453.44,1374.67,-0.4354664227925409,210.44240193310904,-1242.390537365331,-92.55060303119635,0.07865255725601436
145,Godrej Inds.,18298.09,2458.48,-0.8418484575233642,78.84146740672307,-644.2846799648564,-86.56428075279989,0.14066338754956914
146,Whirlpool India,18254.06,958.01,-0.2406262074347576,-61.032426539975916,-1805.414348493231,-94.75179768226904,0.05481310887473672
147,Sundaram Finance,18159.85,677.23,-0.5161043625363515,-29.3086710994666,-2581.489302009657,-96.27072910844528,0.03874811507524759
148,Federal Bank,18086.81,2501.2,-0.4022059653576271,269.32799787369134,-623.1252998560692,-86.1711379729206,0.1431076376212059
149,Tata Comm,17963.55,4114.63,-0.6814910976562616,64.50623700623703,-336.5775294497925,-77.09456093032834,0.23542098951916782
151,Tata Chemicals,17941.47,2573.91,-0.12291557069731285,-37.444922143667846,-597.0511789456508,-85.65385110584585,0.14726778328386297
152,Exide Inds.,17930.75,2276.54,-0.059749842125544905,-11.553240012277033,-687.6316691118978,-87.30371010693919,0.1302535828203183
153,IDFC Bank,17762.77,2283.72,-0.9368264015727101,0.3153909002257649,-677.7998178410664,-87.14322146827325,0.1306643907677516
154,NBCC,17712.0,1321.5,-0.2858225378136403,-42.13388681624717,-1240.295119182747,-92.5389566395664,0.07561040425252823
155,IDBI Bank,17559.35,5797.2,-0.8618450767841068,338.68331441543694,-202.89363830814872,-66.98511049668694,0.3316902274179014
156,The Ramco Cement,17246.58,1056.36,-1.7812162750898919,-81.77809977230388,-1532.6422810405547,-93.87495955719916,0.06044026230510837
157,Dewan Hsg. Fin.,17097.54,2631.6,-0.8641713313596089,149.11961831193912,-549.7013223894209,-84.60831207296489,0.1505685507612208
158,MphasiS,16728.78,1660.69,-2.1568015047778943,-36.894284845721224,-907.3391180774255,-90.07285647847601,0.09501736075530164
159,Apollo Hospitals,16683.97,1896.14,-0.2678617328938371,14.177841740481378,-779.8912527555982,-88.63495918537375,0.10848877178917056
160,Reliance Nip.Lif,16655.58,394.0,-0.17016333642412285,-79.22094360121088,-4127.304568527919,-97.63442642045489,0.022542943076425365
161,Tata Global,16589.24,1730.39,-0.3983049524543758,339.1852791878173,-858.6994839313683,-89.56920268800741,0.09900528748734948
162,Godrej Propert.,16545.51,627.03,-0.26360460153691534,-63.76366021532718,-2538.71106645615,-96.2102709435974,0.03587589237870811
163,AU Small Finance,16453.67,464.17,-0.5550750626605039,-25.973238919987875,-3444.750845595363,-97.17892725452741,0.026557761136508536
164,Indian Hotels,16150.13,1197.26,-1.844816384429726,157.93567012086086,-1248.9242102801395,-92.58668506073946,0.06850193915655084
165,Motil.Oswal.Fin.,16108.15,728.63,-0.25993598813136565,-39.14187394550891,-2110.744822475056,-95.47663760270423,0.041688996481664506
166,H U D C O,16065.25,1064.49,-0.2663248107324545,46.09472571812854,-1409.1968924085713,-93.3739593221394,0.06090542506452802
167,Oberoi Realty,16044.51,356.2,-0.1290985200977257,-66.53796653796654,-4404.354295339696,-97.77992596844652,0.02038019371528608
168,Indian Bank,15739.16,4354.22,-1.9031431935285004,1122.4087591240877,-261.4691035363394,-72.33511826552369,0.2491292731021139
169,SJVN,15512.35,436.58,-1.441055304095007,-89.97340511044459,-3453.1517705804204,-97.1855972821655,0.024979182965243114
170,Bank of India,15339.87,9334.84,-1.1118882696690036,2038.173988730588,-64.32922256835683,-39.14655078563247,0.5340983927602503
171,Supreme Inds.,15248.94,1278.3,-0.5927690391118068,-86.30613915182263,-1092.907768129547,-91.6171222393163,0.07313869069694047
172,Muthoot Finance,15226.72,1553.71,-0.14571504642291178,21.545020730657917,-880.0232990712551,-89.796160959156,0.08889643676972807
173,NLC India,15201.61,1706.48,-0.16490747843264097,9.832594242168735,-790.8167690216118,-88.77434692772674,0.09763726269304152
176,Info Edg.(India),14845.05,,-2.3455410315091685,0.0,,,
177,Glenmark Pharma.,14785.53,2203.67,-0.4009417280507521,29.13541324832405,-570.9502783992159,-85.09576592790383,0.1260842826630109
178,Jubilant Life,14775.08,2067.76,-0.07067720940676647,-6.167438863350672,-614.5452083413935,-86.00508423643053,0.11830811161347544
179,Crompton Gr. Con,14638.57,938.19,-0.9239205472999168,-54.62771308082176,-1460.2990865389738,-93.5909723422438,0.053679095849927715
180,Honeywell Auto,14526.24,721.48,-0.767356374290662,-23.09873266609109,-1913.3946886954593,-95.03326394166695,0.041279905001978104
181,Natco Pharma,14456.9,562.2,-0.47734307019573485,-22.07684204690358,-2471.487015297047,-96.11119949643422,0.032166605577579555
182,PC Jeweller,14334.81,2644.89,-0.8445102338675681,370.453575240128,-441.9813300364099,-81.54917993332316,0.15132894597311342
183,Quess Corp,14330.19,1583.95,-0.03222923777852493,-40.11282132716294,-804.7122699580162,-88.94676204572305,0.0906266362586395
184,CRISIL,14164.81,441.13,-1.1540670430748023,-72.15000473499795,-3111.028495001474,-96.8857330243046,0.025239513906861733
185,WABCO India,13843.64,649.91,-2.2673795130326524,47.32845193026998,-2030.085704174424,-95.30535321635062,0.03718498511370459
186,Amara Raja Batt.,13774.32,1553.46,-0.5007353557301419,139.02694219199586,-786.6864933760767,-88.72205669680973,0.08888213287183694
189,Sterlite Tech.,13743.95,835.18,-0.2204827534135867,-46.23743128242762,-1545.6272899255252,-93.92328988391256,0.04778531776286533
190,AIA Engg.,13593.35,572.16,-1.095754859410869,-31.492612370985896,-2275.7952321029084,-95.79088304207572,0.03273647286956228
191,KRBL,13492.55,783.51,-0.7415390613792816,36.93896812080537,-1622.064810914985,-94.19301762824671,0.04482898814672599
192,Max Financial,13401.76,,-0.6728898540305561,0.0,,,
193,Indiabulls Vent.,13396.15,238.43,-0.04186017358914773,-69.56899082334623,-5518.4834123222745,-98.2201602699283,0.013641913496731219
194,Century Textiles,13369.97,2069.39,-0.19542928378676327,767.9234995596191,-546.0826620405047,-84.52210438766879,0.1184013730277256
195,Jubilant Food.,13178.43,795.17,-1.4326135361560244,-61.57466693083469,-1557.3097576618836,-93.96612494811598,0.045496121944368424
196,Bayer Crop Sci.,13166.76,479.7,-0.08855379586187873,-39.67327741237723,-2644.790494058787,-96.35673468643766,0.027446319273505704
197,Graphite India,13129.9,933.06,-0.2799473826514687,94.50906816760474,-1307.1871047949758,-92.89362447543394,0.053385579865201656
198,JSW Energy,13104.0,1993.2,-0.19725968971583407,113.61970291299595,-557.4352799518362,-84.78937728937728,0.11404211710642398
199,Central Bank,13046.18,6026.55,-0.4412393162393169,202.35550872968093,-116.4784163410243,-53.80601831340668,0.34481262334322665
201,CESC,12996.56,1706.0,-0.3803412186555777,-71.69192987696111,-661.8147713950761,-86.87344958973759,0.09760979920909055
202,Shri.City Union.,12995.31,1338.09,-0.00961792966753805,-21.56565064478312,-871.1835526758289,-89.70328526214458,0.07655961091658381
203,L&T Technology,12942.25,969.1,-0.40830114864516265,-27.57587307281274,-1235.4916933237023,-92.51212115358612,0.05544762978518737
204,Rain Industries,12655.17,3050.81,-2.21816144797079,214.80858528531627,-314.81344298727225,-75.89277741824093,0.17455389890098802
205,Torrent Power,12599.37,2754.64,-0.44092651461813404,-9.707913636050758,-357.3871721894695,-78.1366846120084,0.15760835714732074
206,Dilip Buildcon,12526.06,1942.12,-0.5818544895498823,-29.496413324427152,-544.9683850637447,-84.49536406499729,0.1111195446893077
207,TI Financial,12507.91,886.68,-0.1448979168230058,-54.34473667950488,-1310.6453286416747,-92.91104589016071,0.05073192072843869
208,JM Financial,12382.64,837.73,-1.0015262341990017,-5.52059367528307,-1378.1182481229034,-93.23464140118747,0.04793121752135488
209,Adani Power,12091.5,4844.46,-2.351194898664577,478.2841727048094,-149.59438203638794,-59.934995658106935,0.27717864471070974
210,Reliance Power,12033.99,2494.65,-0.4756233717901015,-48.50509654326798,-382.39191870603094,-79.26996781616073,0.14273287549645824
211,Reliance Capital,11966.83,4749.0,-0.5580858883878048,90.36738620648185,-151.98631290798065,-60.31530488859623,0.2717168443399596
212,Syngene Intl.,11950.0,387.7,-0.14063874894186812,-91.83617603706044,-2982.280113489812,-96.75564853556484,0.02218248484956882
213,Abbott India,11924.12,881.49,-0.2165690376568996,127.36394119164305,-1252.7232299855928,-92.60750478861334,0.05043497180821878
214,Hatsun AgroProd.,11896.52,1012.94,-0.23146362163413148,14.912250847996011,-1074.4545580192312,-91.48540917848244,0.05795596131937643
215,Symphony,11882.55,217.63,-0.11742929865204976,-78.51501569688236,-5359.977944217249,-98.16849077007882,0.012451829192188965
216,Gujarat Gas,11759.77,1571.33,-1.033279893625516,622.0190231126223,-648.3959448365398,-86.63808901024424,0.0899045754930951
217,Reliance Infra.,11737.24,5861.04,-0.19158537964603095,272.9986699165675,-100.25865716664619,-50.06458077026627,0.33534287078338104
218,Aditya Bir. Fas.,11718.17,1855.0,-0.16247431253002542,-68.35032690444017,-531.7072776280323,-84.16988318141826,0.10613492235220573
219,Ajanta Pharma,11651.8,587.05,-0.5663853656330375,-68.35309973045823,-1884.8053828464358,-94.96172265229407,0.03358841302795815
220,P I Inds.,11564.22,537.74,-0.7516435228891671,-8.399625244868403,-2050.5225573697326,-95.34996739944415,0.03076711220791111
221,City Union Bank,11554.4,865.36,-0.08491709773768008,60.92535426042325,-1235.2130905056854,-92.5105587481825,0.04951208431628289
222,Varun Beverages,11498.3,329.92,-0.48552932216299194,-61.87482666173616,-3385.1782250242477,-97.1307062783194,0.0188765679689702
